klient_id,nazwisko,imie,pesel,miejscowosc,ulica,numer_domu
1,Inès,Correy,14863332501,Kalodu,Schlimgen,85
2,Mélia,Boycie,67227517039,Pulaupinang,Waywood,2699
3,Intéressant,Chris,13723620264,Sukomulyo,Farmco,55026
4,Esbjörn,Helli,62842772105,Biała Piska,Di Loreto,528
5,Edmée,Vickie,18157723787,Lobuk,Burrows,45964
6,Mylène,Carissa,92290486461,'s-Hertogenbosch,Westend,27170
7,Mélina,Marina,61247960637,Gornyy,Mosinee,08
8,Intéressant,Sheeree,75490848765,Las Toscas,Rigney,52
9,Eugénie,Alfreda,45740421523,Aurelliana,Dawn,362
10,Alizée,Dolf,18515415566,Tsurusaki,Miller,3915
11,Gaétane,Gill,32535876611,Tuapse,Crownhardt,5
12,Cléopatre,Balduin,31153462953,Koropí,Riverside,552
13,Hélèna,Hurleigh,50137669822,Kochevo,Boyd,72
14,Pò,Eirena,96777169536,Ratilangi,Forest,557
15,Crééz,Murielle,60524451550,Arjasari,Service,225
16,Östen,Roxy,81885067377,Zhuping,Norway Maple,952
17,Vérane,Friedrick,12023658816,Yumbel,Hauk,556
18,Léonie,Francklyn,48200330786,Alexandroúpoli,Reinke,0586
19,Eléa,Heather,24232962569,Myhove,Anthes,7057
20,Lài,Welbie,78422798723,Kotsyubyns’ke,Towne,51
